ruta,extension,tamano_kb,lineas
migracion_reformulacion_segura.sql,.sql,7.43,141
migracion_soporte_tickets.sql,.sql,2.41,58
notificaciones.php,.php,5.4,51
planes.php,.php,20.63,248
probar_correo_facturacion.php,.php,2.35,59
procesar_devolucion.php,.php,8.58,188
producto.php,.php,55.2,691
proveedor.php,.php,65.09,617
recibir_devolucion.php,.php,4.02,56
responder_devolucion.php,.php,4.76,102
scripts/reorganizar_uploads_existentes.php,.php,1.16,27
seguridad.php,.php,15.11,407
simulador_sucursales.php,.php,22.42,176
soporte.php,.php,20.25,384
soporte_admin.php,.php,21.93,358
tracking.php,.php,34.49,303
uploads/.htaccess,[sin extension],0.19,6
uploads/Televisor Indurama 2.png,.png,281.21,
uploads/Televisor Indurama 3.png,.png,422.31,
uploads/Televisor Indurama 4.png,.png,42.85,
uploads/Televisor Indurama 5.png,.png,39.4,
uploads/Televisor Indurama.png,.png,208.63,
uploads/_README_ESTRUCTURA_UPLOADS.txt,.txt,0.35,9
uploads/banners/INFORME TECNICO DN INVESTIGACION ANTIDROGAS. ok.pdf,.pdf,1301.71,
uploads/banners/banner.webp,.webp,135.0,
uploads/banners/banner2.webp,.webp,188.94,
uploads/banners/banner3.webp,.webp,155.94,
uploads/banners/banner_1784505975.jpg,.jpg,34.37,
uploads/banners/banner_1784686666.webp,.webp,135.0,
uploads/banners/banner_1784687194.webp,.webp,188.94,
uploads/banners/banner_1784859999.webp,.webp,188.94,
uploads/banners/orden_de_compra pintura manta 2_nro._nic-1768148880001-2026-00028-signed.pdf,.pdf,292.23,
uploads/confirmaciones/conf_9628a754_1785464753_0.jpg,.jpg,3.05,
uploads/devoluciones/dev_6a60140f86f2f_Tom And Jerry Wallpaper.jpg,.jpg,34.37,
uploads/devoluciones/dev_6a62a3d968f48_banner_1784505975.jpg,.jpg,34.37,
uploads/devoluciones/dev_6a62b1537e87f_banner_1784505975.jpg,.jpg,34.37,
uploads/devoluciones/dev_6a6811d698290_user_2c296d6c-652d-4f02-aa8c-1ac9c7b13c9e_1785200600.jpeg,.jpeg,48.42,
uploads/logo indurama.png,.png,10.51,
uploads/logo lg.png,.png,11.82,
uploads/logo samsung.png,.png,6.04,
uploads/logo.png,.png,2055.92,
uploads/marca_1784408625.png,.png,10.51,
uploads/marca_1784408744.png,.png,11.82,
